active,"Determines if notifications are sent when the webhook is triggered. Set to true to send notifications."
invitee_id,"Required unless you provide email. GitHub user ID for the person you are inviting."
team_ids,"Specify IDs for the teams you want to invite new members to."
hook_id,"hook_id parameter"
invitation_id,"invitation_id parameter"
billing_email,"Billing email address. This address is not publicized."
company,"The company name."
location,"The location."
has_organization_projects,"Toggles whether an organization can use organization projects."
has_repository_projects,"Toggles whether repositories that belong to the organization can use repository projects."
default_repository_permission,"Default permission level members have for organization repositories: * read - can pull, but not push to or administer this repository. * write - can pull and push, but not administer this repository. * admin - can pull, push, and administer this repository. * none - no permissions granted by default."
members_can_create_repositories,"Toggles the ability of non-admin organization members to create repositories. Can be one of: * true - all organization members can create repositories. * false - only organization owners can create repositories. Default: true Note: A parameter can override this parameter. See members_allowed_repository_creation_type in this table for details. Note: A parameter can override this parameter. See members_allowed_repository_creation_type in this table for details."
members_can_create_internal_repositories,"Toggles whether organization members can create internal repositories, which are visible to all enterprise members. You can only allow members to create internal repositories if your organization is associated with an enterprise account using GitHub Enterprise Cloud or GitHub Enterprise Server 2.20+. Can be one of: * true - all organization members can create internal repositories. * false - only organization owners can create internal repositories. Default: true. For more information, see `Restricting repository creation in your organization` in the GitHub Help documentation."
members_can_create_private_repositories,"Toggles whether organization members can create private repositories, which are visible to organization members with permission. Can be one of: * true - all organization members can create private repositories. * false - only organization owners can create private repositories. Default: true. For more information, see `Restricting repository creation in your organization` in the GitHub Help documentation."
members_can_create_public_repositories,"Toggles whether organization members can create public repositories, which are visible to anyone. Can be one of: * true - all organization members can create public repositories. * false - only organization owners can create public repositories. Default: true. For more information, see `Restricting repository creation in your organization` in the GitHub Help documentation."
members_allowed_repository_creation_type,"Specifies which types of repositories non-admin organization members can create. Can be one of: * all - all organization members can create public and private repositories. * private - members can create private repositories. This option is only available to repositories that are part of an organization on GitHub Enterprise Cloud. * none - only admin members can create repositories. Note: This parameter is deprecated and will be removed in the future. Its return value ignores internal repositories. Using this parameter overrides values set in members_can_create_repositories. See this note for details."
project_id,"project_id parameter"
permission,"The permission to grant the collaborator. Note that, if you choose not to pass any parameters, you'll need to set Content-Length to zero when calling out to this endpoint. For more information, see `HTTP verbs.` Can be one of: * read - can read, but not write to or administer this project. * write - can read and write, but not administer this project. * admin - can read, write and administer this project."
column_id,"column_id parameter"
note,"The card's note content. Only valid for cards without another type of content, so you must omit when specifying content_id and content_type."
content_id,"The issue or pull request id you want to associate with this card. You can use the List issues for a repository and List pull requests endpoints to find this id. Note: Depending on whether you use the issue id or pull request id, you will need to specify Issue or PullRequest as the content_type."
content_type,"Required if you provide content_id. The type of content you want to associate with this card. Use Issue when content_id is an issue id and use PullRequest when content_id is a pull request id."
card_id,"card_id parameter"
archived_state,"Filters the project cards that are returned by the card's state. Can be one of all,archived, or not_archived."
affiliation,"Filters the collaborators by their affiliation. Can be one of: * outside: Outside collaborators of a project that are not a member of the project's organization. * direct: Collaborators with permissions to a project, regardless of organization membership status. * all: All collaborators the authenticated user can see."
position,"Can be one of top, bottom, or after:<card_id>, where <card_id> is the id value of a card in the same column, or in the new column specified by column_id."
organization_permission,"The permission level that determines whether all members of the project's organization can see and/or make changes to the project. Setting organization_permission is only available for organization projects. If an organization member belongs to a team with a higher level of access or is a collaborator with a higher level of access, their permission level is not lowered by organization_permission. For information on changing access for a team or collaborator, see Add or update team project or Add user as a collaborator."
private,"Sets the visibility of a project board. Setting private is only available for organization and user projects. Note: Updating a project's visibility requires admin access to the project."
archived,"Use true to archive a project card. Specify false if you need to restore a previously archived project card."
pull_number,"pull_number parameter"
head,"The name of the branch where your changes are implemented. For cross-repository pull requests in the same network, namespace head with a user like this: username:branch."
base,"The name of the branch you want the changes pulled into. This should be an existing branch on the current repository. You cannot submit a pull request to one repository that requests a merge to a base of another repository."
maintainer_can_modify,"Indicates whether maintainers can modify the pull request."
draft,"Indicates whether the pull request is a draft. See `Draft Pull Requests` in the GitHub Help documentation to learn more."
commit_id,"The SHA of the commit needing a comment. Not using the latest commit SHA may render your comment outdated if a subsequent commit modifies the line you specify as the position."
path,"The relative path to the file that necessitates a comment."
side,"Required with comfort-fade preview. In a split diff view, the side of the diff that the pull request's changes appear on. Can be LEFT or RIGHT. Use LEFT for deletions that appear in red. Use RIGHT for additions that appear in green or unchanged lines that appear in white and are shown for context. For a multi-line comment, side represents whether the last line of the comment range is a deletion or addition. For more information, see `Diff view options` in the GitHub Help documentation."
line,"Required with comfort-fade preview. The line of the blob in the pull request diff that the comment applies to. For a multi-line comment, the last line of the range that your comment applies to."
start_line,"Required when using multi-line comments. To create multi-line comments, you must use the comfort-fade preview header. The start_line is the first line in the pull request diff that your multi-line comment applies to. To learn more about multi-line comments, see `Commenting on a pull request` in the GitHub Help documentation."
start_side,"Required when using multi-line comments. To create multi-line comments, you must use the comfort-fade preview header. The start_side is the starting side of the diff that the comment applies to. Can be LEFT or RIGHT. To learn more about multi-line comments, see `Commenting on a pull request` in the GitHub Help documentation. See side in this table for additional context."
comments,"Use the following table to specify the location, destination, and contents of the draft review comment."
comments[].path,"The relative path to the file that necessitates a review comment."
comments[].position,"The position in the diff where you want to add a review comment. Note this value is not the same as the line number in the file. For help finding the position value, read the note below."
comments[].body,"Text of the review comment."
reviewers,"An array of user logins that will be requested."
team_reviewers,"An array of team slugs that will be requested."
review_id,"review_id parameter"
commit_title,"Title for the automatic commit message."
commit_message,"Extra detail to append to automatic commit message."
merge_method,"Merge method to use. Possible values are merge, squash or rebase. Default is merge."
expected_head_sha,"The expected SHA of the pull request's HEAD ref. This is the most recent commit on the pull request's branch. If the expected SHA does not match the pull request's HEAD, you will receive a 422 Unprocessable Entity status. You can use the `List commits on a repository` endpoint to find the most recent commit SHA. Default: SHA of the pull request's current HEAD ref."
team_slug,"team_slug parameter"
discussion_number,"discussion_number parameter"
comment_number,"comment_number parameter"
reaction_id,"reaction_id parameter"
read_only,"If true, the key will only be able to read repository contents. Otherwise, the key will be able to read and write."
apps,"apps parameter"
contexts,"contexts parameter"
teams,"teams parameter"
users,"users parameter"
task,"Specifies a task to execute (e.g., deploy or deploy:migrations)."
auto_merge,"Attempts to automatically merge the default branch into the requested ref, if it's behind the default branch."
required_contexts,"The status contexts to verify against commit status checks. If you omit this parameter, GitHub verifies all unique contexts before creating a deployment. To bypass checking entirely, pass an empty array. Defaults to all unique contexts."
payload,"JSON payload with extra information about the deployment."
environment,"Name for the target deployment environment (e.g., production, staging, qa)."
transient_environment,"Specifies if the given environment is specific to the deployment and will no longer exist at some point in the future. Default: false Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type. Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type."
production_environment,"Specifies if the given environment is one that end-users directly interact with. Default: true when environment is production and false otherwise. Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type."
deployment_id,"deployment_id parameter"
target_url,"The target URL to associate with this status. This URL should contain output to keep the user updated while the task is running or serve as historical information for what happened in the deployment. Note: It's recommended to use the log_url parameter, which replaces target_url."
log_url,"The full URL of the deployment's output. This parameter replaces target_url. We will continue to accept target_url to support legacy uses, but we recommend replacing target_url with log_url. Setting log_url will automatically set target_url to the same value. Default: `` Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type. Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type."
environment_url,"Sets the URL for accessing your environment. Default: `` Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type. Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type."
auto_inactive,"Adds a new inactive status to all prior non-transient, non-production environment deployments with the same repository and environment name as the created status's deployment. An inactive status is only added to deployments that had a success state. Default: true Note: To add an inactive status to production environments, you must use the application/vnd.github.flash-preview+json custom media type. Note: This parameter requires you to use the application/vnd.github.ant-man-preview+json custom media type."
event_type,"Required: A custom webhook event name."
client_payload,"JSON payload with extra information about the webhook event that your action or worklow may use."
homepage,"A URL with more information about the repository."
visibility,"Can be public or private. If your organization is associated with an enterprise account using GitHub Enterprise Cloud or GitHub Enterprise Server 2.20+, visibility can also be internal. For more information, see `Creating an internal repository` in the GitHub Help documentation. The visibility parameter overrides the private parameter when you use both parameters with the nebula-preview preview header."
has_issues,"Either true to enable issues for this repository or false to disable them."
has_projects,"Either true to enable projects for this repository or false to disable them. Note: If you're creating a repository in an organization that has disabled repository projects, the default is false, and if you pass true, the API returns an error."
has_wiki,"Either true to enable the wiki for this repository or false to disable it."
is_template,"Either true to make this repo available as a template repository or false to prevent it."
team_id,"The id of the team that will be granted access to this repository. This is only valid when creating a repository in an organization."
auto_init,"Pass true to create an initial commit with empty README."
gitignore_template,"Desired language or platform .gitignore template to apply. Use the name of the template without the extension. For example, `Haskell`."
license_template,"Choose an open source license template that best suits your needs, and then use the license keyword as the license_template string. For example, `mit` or `mpl-2.0`."
allow_squash_merge,"Either true to allow squash-merging pull requests, or false to prevent squash-merging."
allow_merge_commit,"Either true to allow merging pull requests with a merge commit, or false to prevent merging pull requests with merge commits."
allow_rebase_merge,"Either true to allow rebase-merging pull requests, or false to prevent rebase-merging."
delete_branch_on_merge,"Either true to allow automatically deleting head branches when pull requests are merged, or false to prevent automatic deletion."
organization,"Optional parameter to specify the organization name if forking into an organization."
tag_name,"The name of the tag."
target_commitish,"Specifies the commitish value that determines where the Git tag is created from. Can be any branch or commit SHA. Unused if the Git tag already exists. Default: the repository's default branch (usually master)."
prerelease,"true to identify the release as a prerelease. false to identify the release as a full release."
template_owner,"template_owner parameter"
template_repo,"template_repo parameter"
download_id,"download_id parameter"
release_id,"release_id parameter"
asset_id,"asset_id parameter"
source,"source parameter"
source.branch,"The repository branch used to publish your site's source files. Can be either master or gh-pages."
source.path,"The repository directory that includes the source files for the Pages site. When branch is master, you can change path to /docs. When branch is gh-pages, you are unable to specify a path other than /."
per,"Must be one of: day, week."
status_id,"status_id parameter"
build_id,"build_id parameter"
protected,"Setting to true returns only protected branches. When set to false, only unprotected branches are returned. Omitting this parameter returns all branches."
until,"Only commits before this date will be returned. This is a timestamp in ISO 8601 format: YYYY-MM-DDTHH:MM:SSZ."
anon,"Set to 1 or true to include anonymous contributors in results."
names,"An array of topics to add to the repository. Pass one or more topics to replace the set of existing topics. Send an empty array ([]) to clear all topics from the repository. Note: Topic names cannot contain uppercase letters."
new_owner,"Required: The username or organization name the repository will be transferred to."
default_branch,"Updates the default branch for this repository."
required_status_checks,"Require status checks to pass before merging. Set to null to disable."
required_status_checks.strict,"Require branches to be up to date before merging."
required_status_checks.contexts,"The list of status checks to require in order to merge into this branch"
enforce_admins,"Enforce all configured restrictions for administrators. Set to true to enforce required status checks for repository administrators. Set to null to disable."
required_pull_request_reviews,"Require at least one approving review on a pull request, before merging. Set to null to disable."
required_pull_request_reviews.dismissal_restrictions,"Specify which users and teams can dismiss pull request reviews. Pass an empty dismissal_restrictions object to disable. User and team dismissal_restrictions are only available for organization-owned repositories. Omit this parameter for personal repositories."
required_pull_request_reviews.dismissal_restrictions.users,"The list of user logins with dismissal access"
required_pull_request_reviews.dismissal_restrictions.teams,"The list of team slugs with dismissal access"
required_pull_request_reviews.dismiss_stale_reviews,"Set to true if you want to automatically dismiss approving reviews when someone pushes a new commit."
required_pull_request_reviews.require_code_owner_reviews,"Blocks merging pull requests until code owners review them."
required_pull_request_reviews.required_approving_review_count,"Specify the number of reviewers required to approve pull requests. Use a number between 1 and 6."
restrictions,"Restrict who can push to the protected branch. User, app, and team restrictions are only available for organization-owned repositories. Set to null to disable."
restrictions.users,"The list of user logins with push access"
restrictions.teams,"The list of team slugs with push access"
restrictions.apps,"The list of app slugs with push access"
required_linear_history,"Enforces a linear commit Git history, which prevents anyone from pushing merge commits to a branch. Set to true to enforce a linear commit history. Set to false to disable a linear commit Git history. Your repository must allow squash merging or rebase merging before you can enable a linear commit history. Default: false. For more information, see `Requiring a linear commit history` in the GitHub Help documentation."
allow_force_pushes,"Permits force pushes to the protected branch by anyone with write access to the repository. Set to true to allow force pushes. Set to false or null to block force pushes. Default: false. For more information, see `Enabling force pushes to a protected branch` in the GitHub Help documentation.`"
allow_deletions,"Allows deletion of the protected branch by anyone with write access to the repository. Set to false to prevent deletion of the protected branch. Default: false. For more information, see `Enabling force pushes to a protected branch` in the GitHub Help documentation."
add_events,"Determines a list of events to be added to the list of events that the Hook triggers for."
remove_events,"Determines a list of events to be removed from the list of events that the Hook triggers for."
cname,"Specify a custom domain for the repository. Sending a null value will remove the custom domain. For more about custom domains, see `Using a custom domain with GitHub Pages.`"
dismissal_restrictions,"Specify which users and teams can dismiss pull request reviews. Pass an empty dismissal_restrictions object to disable. User and team dismissal_restrictions are only available for organization-owned repositories. Omit this parameter for personal repositories."
dismissal_restrictions.users,"The list of user logins with dismissal access"
dismissal_restrictions.teams,"The list of team slugs with dismissal access"
dismiss_stale_reviews,"Set to true if you want to automatically dismiss approving reviews when someone pushes a new commit."
require_code_owner_reviews,"Blocks merging pull requests until code owners have reviewed."
required_approving_review_count,"Specifies the number of reviewers required to approve pull requests. Use a number between 1 and 6."
strict,"Require branches to be up to date before merging."
label,"An alternate short description of the asset. Used in place of the filename."
origin,"The URL origin (protocol + host name + port) is included in upload_url returned in the response of the `Create a release` endpoint"
q,"The query contains one or more search keywords and qualifiers. Qualifiers allow you to limit your search to specific areas of GitHub. The REST API supports the same qualifiers as GitHub.com. To learn more about the format of the query, see Constructing a search query. See `Searching code` for a detailed list of qualifiers."
order,"Determines whether the first search result returned is the highest number of matches (desc) or lowest number of matches (asc). This parameter is ignored unless you provide sort."
maintainers,"List GitHub IDs for organization members who will become team maintainers."
repo_names,"The full name (e.g., `organization-name/repository-name`) of repositories to add the team to."
privacy,"The level of privacy this team should have. The options are: For a non-nested team: * secret - only visible to organization owners and members of this team. * closed - visible to all members of this organization. Default: secret For a parent or child team: * closed - visible to all members of this organization. Default for child team: closed"
parent_team_id,"The ID of a team to set as the parent team."
emails,"Adds one or more email addresses to your GitHub account. Must contain at least one email address. Note: Alternatively, you can pass a single email address or an array of emails addresses directly, but we recommend that you pass an object using the emails key."
target_user,"target_user parameter"
armored_public_key,"Your GPG key, generated in ASCII-armored format. See `Generating a new GPG key` for help creating a GPG key."
gpg_key_id,"gpgkeyid parameter"
subject_type,"Identifies which additional information you'd like to receive about the person's hovercard. Can be organization, repository, issue, pull_request. Required when using subject_id."
subject_id,"Uses the ID for the subject_type you specified. Required when using subject_type."
blog,"The new blog URL of the user."
hireable,"The new hiring availability of the user."
bio,"The new short biography of the user."
